Timestamp,Job Name,Pod Name,Pod Status,Pod CPU Usage (m),Pod Memory Usage (Mi),VPA Target CPU (m),VPA Target Mem (Mi),Node CPU Usage (m),Node Memory Usage (Mi),Creation Time,Start Time,Queue Time (s)
2025-08-18T10:15:54.417025,run-nas-mg-d-x,run-nas-mg-d-x-rfprq,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:50.305834+00:00,N/A,Pending
2025-08-18T10:15:54.427901,run-hpc-pulse-spikes,run-hpc-pulse-spikes-wjd6w,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:52.344285+00:00,N/A,Pending
2025-08-18T10:15:54.437178,run-nas-cg-d-x,run-nas-cg-d-x-f85ls,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:49.286860+00:00,N/A,Pending
2025-08-18T10:15:54.445626,run-nas-sp-d-x,run-nas-sp-d-x-76phk,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:48.269169+00:00,N/A,Pending
2025-08-18T10:15:54.461967,run-nas-ep-d-x,run-nas-ep-d-x-dbshf,Running,17892.83,38.31,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:46.230361+00:00,2025-08-18T13:15:54.454004+00:00,8.22
2025-08-18T10:15:54.470855,run-nas-bt-d-x,run-nas-bt-d-x-fgwlw,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:47.249828+00:00,N/A,Pending
2025-08-18T10:15:54.475653,run-hpc-epochs,run-hpc-epochs-mqkkn,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:53.362803+00:00,N/A,Pending
2025-08-18T10:15:54.479941,run-hpc-staircase,run-hpc-staircase-fgzq4,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:51.323798+00:00,N/A,Pending
2025-08-18T10:15:55.491091,run-nas-mg-d-x,run-nas-mg-d-x-rfprq,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:50.305834+00:00,N/A,Pending
2025-08-18T10:15:55.499801,run-hpc-pulse-spikes,run-hpc-pulse-spikes-wjd6w,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:52.344285+00:00,N/A,Pending
2025-08-18T10:15:55.509145,run-nas-cg-d-x,run-nas-cg-d-x-f85ls,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:49.286860+00:00,N/A,Pending
2025-08-18T10:15:55.517729,run-nas-sp-d-x,run-nas-sp-d-x-76phk,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:48.269169+00:00,N/A,Pending
2025-08-18T10:15:55.530136,run-nas-ep-d-x,run-nas-ep-d-x-dbshf,Running,17892.83,38.31,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:46.230361+00:00,2025-08-18T13:15:54.454004+00:00,8.22
2025-08-18T10:15:55.537301,run-nas-bt-d-x,run-nas-bt-d-x-fgwlw,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:47.249828+00:00,N/A,Pending
2025-08-18T10:15:55.542846,run-hpc-epochs,run-hpc-epochs-mqkkn,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:53.362803+00:00,N/A,Pending
2025-08-18T10:15:55.547119,run-hpc-staircase,run-hpc-staircase-fgzq4,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:51.323798+00:00,N/A,Pending
2025-08-18T10:15:56.558566,run-nas-mg-d-x,run-nas-mg-d-x-rfprq,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:50.305834+00:00,N/A,Pending
2025-08-18T10:15:56.568209,run-hpc-pulse-spikes,run-hpc-pulse-spikes-wjd6w,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:52.344285+00:00,N/A,Pending
2025-08-18T10:15:56.576979,run-nas-cg-d-x,run-nas-cg-d-x-f85ls,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:49.286860+00:00,N/A,Pending
2025-08-18T10:15:56.585107,run-nas-sp-d-x,run-nas-sp-d-x-76phk,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:48.269169+00:00,N/A,Pending
2025-08-18T10:15:56.601780,run-nas-ep-d-x,run-nas-ep-d-x-dbshf,Succeeded,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:46.230361+00:00,2025-08-18T13:15:54.454004+00:00,8.22
2025-08-18T10:15:56.604635,run-nas-bt-d-x,run-nas-bt-d-x-fgwlw,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:47.249828+00:00,N/A,Pending
2025-08-18T10:15:56.606960,run-hpc-epochs,run-hpc-epochs-mqkkn,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:53.362803+00:00,N/A,Pending
2025-08-18T10:15:56.609428,run-hpc-staircase,run-hpc-staircase-fgzq4,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:51.323798+00:00,N/A,Pending
2025-08-18T10:15:57.620222,run-nas-mg-d-x,run-nas-mg-d-x-rfprq,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:50.305834+00:00,N/A,Pending
2025-08-18T10:15:57.629936,run-hpc-pulse-spikes,run-hpc-pulse-spikes-wjd6w,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:52.344285+00:00,N/A,Pending
2025-08-18T10:15:57.638381,run-nas-cg-d-x,run-nas-cg-d-x-f85ls,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:49.286860+00:00,N/A,Pending
2025-08-18T10:15:57.644977,run-nas-sp-d-x,run-nas-sp-d-x-76phk,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:48.269169+00:00,N/A,Pending
2025-08-18T10:15:57.648830,run-nas-ep-d-x,run-nas-ep-d-x-dbshf,Terminated,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:46.230361+00:00,2025-08-18T13:15:54.454004+00:00,8.22
2025-08-18T10:15:57.653346,run-nas-bt-d-x,run-nas-bt-d-x-fgwlw,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:47.249828+00:00,N/A,Pending
2025-08-18T10:15:57.658079,run-hpc-epochs,run-hpc-epochs-mqkkn,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:53.362803+00:00,N/A,Pending
2025-08-18T10:15:57.661112,run-hpc-staircase,run-hpc-staircase-fgzq4,Pending,0.00,0.00,N/A,N/A,31946.03,15633.80,2025-08-18T13:15:51.323798+00:00,N/A,Pending
