Timestamp,Job Name,Pod Name,Pod Status,Pod CPU Usage (m),Pod Memory Usage (Mi),VPA Target CPU (m),VPA Target Mem (Mi),Node CPU Usage (m),Node Memory Usage (Mi),Creation Time,Start Time,Queue Time (s)
2025-08-15T10:55:48.176098,run-hpc-epochs,run-hpc-epochs-fn8f6,Pending,0.00,0.00,N/A,N/A,304.57,0.00,2025-08-15T13:55:48.176071+00:00,N/A,Pending
2025-08-15T10:55:49.207241,run-hpc-epochs,run-hpc-epochs-fn8f6,Pending,0.00,0.00,N/A,N/A,304.57,0.00,2025-08-15T13:55:48.176071+00:00,N/A,Pending
2025-08-15T10:55:50.226851,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,0.00,0.00,N/A,N/A,304.57,0.00,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:55:51.253767,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,0.00,0.00,N/A,N/A,304.57,0.00,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:55:52.277881,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,0.00,0.00,N/A,N/A,304.57,0.00,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:55:53.298906,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,0.00,0.00,N/A,N/A,304.57,0.00,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:55:54.321178,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,0.00,0.00,N/A,N/A,304.57,0.00,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:55:55.341429,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,0.00,0.00,N/A,N/A,304.57,0.00,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:55:56.360582,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,0.00,0.00,N/A,N/A,304.57,0.00,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:55:57.381548,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,0.00,0.00,N/A,N/A,304.57,0.00,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:55:58.402210,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,0.00,0.00,N/A,N/A,304.57,0.00,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:55:59.425366,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,0.00,0.00,N/A,N/A,304.57,0.00,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:56:00.447545,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,0.00,0.00,N/A,N/A,304.57,0.00,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:56:01.474231,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,0.00,0.00,N/A,N/A,304.57,0.00,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:56:02.495176,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,0.00,0.00,N/A,N/A,304.57,0.00,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:56:03.516402,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,13119.80,12313.98,N/A,N/A,8692.12,17020.14,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:56:04.538399,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,13119.80,12313.98,N/A,N/A,8692.12,17020.14,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:56:05.560184,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,13119.80,12313.98,N/A,N/A,8692.12,17020.14,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:56:06.581497,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,13119.80,12313.98,N/A,N/A,8692.12,17020.14,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:56:07.603925,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,13119.80,12313.98,N/A,N/A,8692.12,17020.14,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:56:08.626629,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,13119.80,12313.98,N/A,N/A,8692.12,17020.14,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:56:09.649209,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,13119.80,12313.98,N/A,N/A,8692.12,17020.14,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:56:10.669501,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,13119.80,12313.98,N/A,N/A,8692.12,17020.14,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:56:11.697349,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,13119.80,12313.98,N/A,N/A,8692.12,17020.14,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:56:12.723214,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,13119.80,12313.98,N/A,N/A,8692.12,17020.14,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:56:13.745547,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,13119.80,12313.98,N/A,N/A,8692.12,17020.14,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:56:14.768894,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,13119.80,12313.98,N/A,N/A,8692.12,17020.14,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:56:15.790673,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,13119.80,12313.98,N/A,N/A,8692.12,17020.14,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
2025-08-15T10:56:16.812607,run-hpc-epochs,run-hpc-epochs-fn8f6,Running,13119.80,12313.98,N/A,N/A,8692.12,17020.14,2025-08-15T13:55:48.176071+00:00,2025-08-15T13:55:50.234193+00:00,2.06
