Timestamp,Job Name,Pod Name,Pod Status,Pod CPU Usage (m),Pod Memory Usage (Mi),VPA Target CPU (m),VPA Target Mem (Mi),Node CPU Usage (m),Node Memory Usage (Mi),Creation Time,Start Time,Queue Time (s)
2025-08-15T01:49:57.987633,run-nas-bt-d-x,run-nas-bt-d-x-6rrdp,Pending,0.00,0.00,N/A,N/A,325.62,4503.28,2025-08-15T04:49:49.814748+00:00,N/A,Pending
2025-08-15T01:49:57.992672,run-hpc-fft,run-hpc-fft-kbpnv,Pending,0.00,0.00,N/A,N/A,325.62,4503.28,2025-08-15T04:49:52.875267+00:00,N/A,Pending
2025-08-15T01:49:57.996510,run-hpc-md,run-hpc-md-kwvtj,Pending,0.00,0.00,N/A,N/A,325.62,4503.28,2025-08-15T04:49:54.914485+00:00,N/A,Pending
2025-08-15T01:49:58.000356,run-nas-cg-d-x,run-nas-cg-d-x-qg7gg,Pending,0.00,0.00,N/A,N/A,325.62,4503.28,2025-08-15T04:49:53.894480+00:00,N/A,Pending
2025-08-15T01:49:58.004071,run-hpc-dl,run-hpc-dl-5r4wj,Pending,0.00,0.00,N/A,N/A,325.62,4503.28,2025-08-15T04:49:55.934047+00:00,N/A,Pending
2025-08-15T01:49:58.007902,run-nas-mg-d-x,run-nas-mg-d-x-fscfl,Pending,0.00,0.00,N/A,N/A,325.62,4503.28,2025-08-15T04:49:56.953540+00:00,N/A,Pending
2025-08-15T01:49:58.011413,run-nas-sp-d-x,run-nas-sp-d-x-dggww,Pending,0.00,0.00,N/A,N/A,325.62,4503.28,2025-08-15T04:49:50.836052+00:00,N/A,Pending
2025-08-15T01:49:58.018507,run-nas-ep-d-x,run-nas-ep-d-x-5kj6q,Running,0.00,0.00,N/A,N/A,325.62,4503.28,2025-08-15T04:49:48.794141+00:00,2025-08-15T04:49:58.015984+00:00,9.22
2025-08-15T01:49:58.022000,run-hpc-analytics,run-hpc-analytics-cvcz2,Pending,0.00,0.00,N/A,N/A,325.62,4503.28,2025-08-15T04:49:51.855018+00:00,N/A,Pending
2025-08-15T01:49:59.034109,run-nas-bt-d-x,run-nas-bt-d-x-6rrdp,Pending,0.00,0.00,N/A,N/A,325.62,4503.28,2025-08-15T04:49:49.814748+00:00,N/A,Pending
2025-08-15T01:49:59.045033,run-hpc-fft,run-hpc-fft-kbpnv,Pending,0.00,0.00,N/A,N/A,325.62,4503.28,2025-08-15T04:49:52.875267+00:00,N/A,Pending
2025-08-15T01:49:59.054175,run-hpc-md,run-hpc-md-kwvtj,Pending,0.00,0.00,N/A,N/A,325.62,4503.28,2025-08-15T04:49:54.914485+00:00,N/A,Pending
2025-08-15T01:49:59.062454,run-nas-cg-d-x,run-nas-cg-d-x-qg7gg,Pending,0.00,0.00,N/A,N/A,325.62,4503.28,2025-08-15T04:49:53.894480+00:00,N/A,Pending
2025-08-15T01:49:59.068389,run-hpc-dl,run-hpc-dl-5r4wj,Pending,0.00,0.00,N/A,N/A,325.62,4503.28,2025-08-15T04:49:55.934047+00:00,N/A,Pending
