Timestamp,Job Name,Pod Name,Pod Status,Pod CPU Usage (m),Pod Memory Usage (Mi),VPA Target CPU (m),VPA Target Mem (Mi),Node CPU Usage (m),Node Memory Usage (Mi),Creation Time,Start Time,Queue Time (s)
2025-08-14T20:06:30.918624,run-hpc-md,run-hpc-md-dvblx,Running,0.00,0.00,N/A,N/A,236.80,4653.27,2025-08-14T23:06:25.494569+00:00,2025-08-14T23:06:30.912143+00:00,5.42
2025-08-14T20:06:30.940523,run-nas-sp-d-x,run-nas-sp-d-x-t5jnr,Running,0.00,0.00,N/A,N/A,236.80,4653.27,2025-08-14T23:06:27.520999+00:00,2025-08-14T23:06:30.935265+00:00,3.41
2025-08-14T20:06:30.962372,run-nas-cg-d-x,run-nas-cg-d-x-h2x4g,Running,0.00,0.00,N/A,N/A,236.80,4653.27,2025-08-14T23:06:28.537600+00:00,2025-08-14T23:06:30.956551+00:00,2.42
2025-08-14T20:06:30.984367,run-nas-bt-d-x,run-nas-bt-d-x-j4z9h,Running,0.00,0.00,N/A,N/A,236.80,4653.27,2025-08-14T23:06:26.502770+00:00,2025-08-14T23:06:30.978398+00:00,4.48
2025-08-14T20:06:30.996737,run-nas-mg-d-x,run-nas-mg-d-x-6bm4f,Pending,0.00,0.00,N/A,N/A,236.80,4653.27,2025-08-14T23:06:29.545599+00:00,N/A,Pending
2025-08-14T20:06:31.006584,run-hpc-fft,run-hpc-fft-kzz9x,Running,0.00,0.00,N/A,N/A,236.80,4653.27,2025-08-14T23:06:24.486459+00:00,2025-08-14T23:06:31.003225+00:00,6.52
2025-08-14T20:06:31.022421,run-nas-ep-d-x,run-nas-ep-d-x-84lgx,Running,0.00,0.00,N/A,N/A,236.80,4653.27,2025-08-14T23:06:21.442382+00:00,2025-08-14T23:06:31.017048+00:00,9.57
2025-08-14T20:06:31.044313,run-hpc-analytics,run-hpc-analytics-bh25g,Running,0.00,0.00,N/A,N/A,236.80,4653.27,2025-08-14T23:06:22.459436+00:00,2025-08-14T23:06:31.039386+00:00,8.58
2025-08-14T20:06:31.063980,run-hpc-dl,run-hpc-dl-wtxtv,Running,0.00,0.00,N/A,N/A,236.80,4653.27,2025-08-14T23:06:23.465775+00:00,2025-08-14T23:06:31.059332+00:00,7.59
2025-08-14T20:06:32.096923,run-hpc-md,run-hpc-md-dvblx,Running,0.00,0.00,N/A,N/A,236.80,4653.27,2025-08-14T23:06:25.494569+00:00,2025-08-14T23:06:30.912143+00:00,5.42
2025-08-14T20:06:32.110695,run-nas-sp-d-x,run-nas-sp-d-x-t5jnr,Running,0.00,0.00,N/A,N/A,236.80,4653.27,2025-08-14T23:06:27.520999+00:00,2025-08-14T23:06:30.935265+00:00,3.41
2025-08-14T20:06:32.124977,run-nas-cg-d-x,run-nas-cg-d-x-h2x4g,Running,0.00,0.00,N/A,N/A,236.80,4653.27,2025-08-14T23:06:28.537600+00:00,2025-08-14T23:06:30.956551+00:00,2.42
2025-08-14T20:06:32.138756,run-nas-bt-d-x,run-nas-bt-d-x-j4z9h,Running,0.00,0.00,N/A,N/A,236.80,4653.27,2025-08-14T23:06:26.502770+00:00,2025-08-14T23:06:30.978398+00:00,4.48
2025-08-14T20:06:32.154857,run-nas-mg-d-x,run-nas-mg-d-x-6bm4f,Running,0.00,0.00,N/A,N/A,236.80,4653.27,2025-08-14T23:06:29.545599+00:00,2025-08-14T23:06:32.147691+00:00,2.6
2025-08-14T20:06:32.168557,run-hpc-fft,run-hpc-fft-kzz9x,Running,0.00,0.00,N/A,N/A,236.80,4653.27,2025-08-14T23:06:24.486459+00:00,2025-08-14T23:06:31.003225+00:00,6.52
2025-08-14T20:06:32.180911,run-nas-ep-d-x,run-nas-ep-d-x-84lgx,Running,0.00,0.00,N/A,N/A,236.80,4653.27,2025-08-14T23:06:21.442382+00:00,2025-08-14T23:06:31.017048+00:00,9.57
2025-08-14T20:06:32.190577,run-hpc-analytics,run-hpc-analytics-bh25g,Running,0.00,0.00,N/A,N/A,236.80,4653.27,2025-08-14T23:06:22.459436+00:00,2025-08-14T23:06:31.039386+00:00,8.58
2025-08-14T20:06:32.198345,run-hpc-dl,run-hpc-dl-wtxtv,Running,0.00,0.00,N/A,N/A,236.80,4653.27,2025-08-14T23:06:23.465775+00:00,2025-08-14T23:06:31.059332+00:00,7.59
2025-08-14T20:06:33.222650,run-hpc-md,run-hpc-md-dvblx,Running,0.00,0.00,N/A,N/A,7222.95,6947.49,2025-08-14T23:06:25.494569+00:00,2025-08-14T23:06:30.912143+00:00,5.42
2025-08-14T20:06:33.236637,run-nas-sp-d-x,run-nas-sp-d-x-t5jnr,Running,0.00,0.00,N/A,N/A,7222.95,6947.49,2025-08-14T23:06:27.520999+00:00,2025-08-14T23:06:30.935265+00:00,3.41
2025-08-14T20:06:33.249930,run-nas-cg-d-x,run-nas-cg-d-x-h2x4g,Running,0.00,0.00,N/A,N/A,7222.95,6947.49,2025-08-14T23:06:28.537600+00:00,2025-08-14T23:06:30.956551+00:00,2.42
2025-08-14T20:06:33.262347,run-nas-bt-d-x,run-nas-bt-d-x-j4z9h,Running,0.00,0.00,N/A,N/A,7222.95,6947.49,2025-08-14T23:06:26.502770+00:00,2025-08-14T23:06:30.978398+00:00,4.48
2025-08-14T20:06:33.273930,run-nas-mg-d-x,run-nas-mg-d-x-6bm4f,Running,0.00,0.00,N/A,N/A,7222.95,6947.49,2025-08-14T23:06:29.545599+00:00,2025-08-14T23:06:32.147691+00:00,2.6
2025-08-14T20:06:33.284393,run-hpc-fft,run-hpc-fft-kzz9x,Running,0.00,0.00,N/A,N/A,7222.95,6947.49,2025-08-14T23:06:24.486459+00:00,2025-08-14T23:06:31.003225+00:00,6.52
2025-08-14T20:06:33.298082,run-nas-ep-d-x,run-nas-ep-d-x-84lgx,Running,19060.69,34.11,N/A,N/A,7222.95,6947.49,2025-08-14T23:06:21.442382+00:00,2025-08-14T23:06:31.017048+00:00,9.57
2025-08-14T20:06:33.310453,run-hpc-analytics,run-hpc-analytics-bh25g,Running,0.00,0.00,N/A,N/A,7222.95,6947.49,2025-08-14T23:06:22.459436+00:00,2025-08-14T23:06:31.039386+00:00,8.58
2025-08-14T20:06:33.334857,run-hpc-dl,run-hpc-dl-wtxtv,Running,0.00,0.00,N/A,N/A,7222.95,6947.49,2025-08-14T23:06:23.465775+00:00,2025-08-14T23:06:31.059332+00:00,7.59
