Timestamp,Job Name,Pod Name,Pod Status,Pod CPU Usage (m),Pod Memory Usage (Mi),VPA Target CPU (m),VPA Target Mem (Mi),Node CPU Usage (m),Node Memory Usage (Mi),Creation Time,Start Time,Queue Time (s)
2025-08-14T22:24:05.836402,run-nas-sp-d-x,run-nas-sp-d-x-8qbkz,Pending,0.00,0.00,N/A,N/A,166.60,4496.23,2025-08-15T01:23:58.678914+00:00,N/A,Pending
2025-08-14T22:24:05.853719,run-hpc-analytics,run-hpc-analytics-prgx6,Pending,0.00,0.00,N/A,N/A,166.60,4496.23,2025-08-15T01:23:59.701191+00:00,N/A,Pending
2025-08-14T22:24:05.866921,run-hpc-fft,run-hpc-fft-zpwbf,Pending,0.00,0.00,N/A,N/A,166.60,4496.23,2025-08-15T01:24:00.712154+00:00,N/A,Pending
2025-08-14T22:24:05.881580,run-nas-cg-d-x,run-nas-cg-d-x-pdf2w,Pending,0.00,0.00,N/A,N/A,166.60,4496.23,2025-08-15T01:24:01.732479+00:00,N/A,Pending
2025-08-14T22:24:05.895227,run-hpc-dl,run-hpc-dl-2d7qk,Pending,0.00,0.00,N/A,N/A,166.60,4496.23,2025-08-15T01:24:03.772174+00:00,N/A,Pending
2025-08-14T22:24:05.910225,run-nas-ep-d-x,run-nas-ep-d-x-qknlr,Running,0.00,0.00,N/A,N/A,166.60,4496.23,2025-08-15T01:23:56.638223+00:00,2025-08-15T01:24:05.906574+00:00,9.27
2025-08-14T22:24:05.918621,run-hpc-md,run-hpc-md-jr77n,Pending,0.00,0.00,N/A,N/A,166.60,4496.23,2025-08-15T01:24:02.752299+00:00,N/A,Pending
2025-08-14T22:24:05.924838,run-nas-mg-d-x,run-nas-mg-d-x-5r7kg,Pending,0.00,0.00,N/A,N/A,166.60,4496.23,2025-08-15T01:24:04.791071+00:00,N/A,Pending
2025-08-14T22:24:05.929821,run-nas-bt-d-x,run-nas-bt-d-x-lshmf,Pending,0.00,0.00,N/A,N/A,166.60,4496.23,2025-08-15T01:23:57.656784+00:00,N/A,Pending
2025-08-14T22:24:06.943514,run-nas-sp-d-x,run-nas-sp-d-x-8qbkz,Pending,0.00,0.00,N/A,N/A,166.60,4496.23,2025-08-15T01:23:58.678914+00:00,N/A,Pending
2025-08-14T22:24:06.954753,run-hpc-analytics,run-hpc-analytics-prgx6,Pending,0.00,0.00,N/A,N/A,166.60,4496.23,2025-08-15T01:23:59.701191+00:00,N/A,Pending
2025-08-14T22:24:06.967179,run-hpc-fft,run-hpc-fft-zpwbf,Pending,0.00,0.00,N/A,N/A,166.60,4496.23,2025-08-15T01:24:00.712154+00:00,N/A,Pending
2025-08-14T22:24:06.974669,run-nas-cg-d-x,run-nas-cg-d-x-pdf2w,Pending,0.00,0.00,N/A,N/A,166.60,4496.23,2025-08-15T01:24:01.732479+00:00,N/A,Pending
2025-08-14T22:24:06.979224,run-hpc-dl,run-hpc-dl-2d7qk,Pending,0.00,0.00,N/A,N/A,166.60,4496.23,2025-08-15T01:24:03.772174+00:00,N/A,Pending
2025-08-14T22:24:06.989263,run-nas-ep-d-x,run-nas-ep-d-x-qknlr,Running,0.00,0.00,N/A,N/A,166.60,4496.23,2025-08-15T01:23:56.638223+00:00,2025-08-15T01:24:05.906574+00:00,9.27
2025-08-14T22:24:06.991740,run-hpc-md,run-hpc-md-jr77n,Pending,0.00,0.00,N/A,N/A,166.60,4496.23,2025-08-15T01:24:02.752299+00:00,N/A,Pending
2025-08-14T22:24:06.994254,run-nas-mg-d-x,run-nas-mg-d-x-5r7kg,Pending,0.00,0.00,N/A,N/A,166.60,4496.23,2025-08-15T01:24:04.791071+00:00,N/A,Pending
2025-08-14T22:24:06.996695,run-nas-bt-d-x,run-nas-bt-d-x-lshmf,Pending,0.00,0.00,N/A,N/A,166.60,4496.23,2025-08-15T01:23:57.656784+00:00,N/A,Pending
